5.7359e+06,6.2007e+05,-112.33,0.9993,0.0031329,-0.010904,-0.035625
5.7359e+06,6.2007e+05,-112.33,0.99927,0.0053447,-0.010951,-0.036226
5.7359e+06,6.2007e+05,-112.34,0.99925,0.0069126,-0.011291,-0.036508
5.7359e+06,6.2007e+05,-112.34,0.99924,0.0074536,-0.011535,-0.036479
5.7359e+06,6.2007e+05,-112.34,0.99925,0.0066674,-0.011532,-0.036234
5.7359e+06,6.2007e+05,-112.34,0.99929,0.004356,-0.010686,-0.035928
5.7359e+06,6.2007e+05,-112.33,0.99931,0.0017454,-0.0095733,-0.035774
5.7359e+06,6.2007e+05,-112.32,0.99932,-9.8212e-05,-0.0087157,-0.035823
5.7359e+06,6.2007e+05,-112.32,0.99932,-0.00077769,-0.0083759,-0.03596
5.7359e+06,6.2007e+05,-112.32,0.99932,-0.00015405,-0.008414,-0.036026
5.7359e+06,6.2007e+05,-112.3,0.99932,0.00068929,-0.008461,-0.036017
5.7359e+06,6.2007e+05,-112.26,0.99931,0.0010134,-0.0086742,-0.035999
5.7359e+06,6.2007e+05,-112.27,0.99931,0.00089183,-0.0089131,-0.035955
5.7359e+06,6.2007e+05,-112.27,0.99931,0.00086462,-0.0091567,-0.035878
5.7359e+06,6.2007e+05,-112.27,0.99932,0.00087019,-0.0094965,-0.035732
5.7359e+06,6.2007e+05,-112.27,0.99932,0.0003029,-0.0098322,-0.035553
5.7359e+06,6.2007e+05,-112.27,0.99932,-0.00048295,-0.0097991,-0.035433
5.7359e+06,6.2007e+05,-112.27,0.99933,-0.0011426,-0.0096479,-0.03541
5.7359e+06,6.2007e+05,-112.27,0.99932,-0.0015109,-0.0099115,-0.035433
5.7359e+06,6.2007e+05,-112.27,0.99931,-0.0022567,-0.010622,-0.035481
5.7359e+06,6.2007e+05,-112.27,0.9993,-0.0033592,-0.011284,-0.035513
5.7359e+06,6.2007e+05,-112.27,0.9993,-0.0037848,-0.011425,-0.035446
5.7359e+06,6.2007e+05,-112.27,0.9993,-0.0037198,-0.011088,-0.035455
5.7359e+06,6.2007e+05,-112.26,0.99931,-0.0036366,-0.01039,-0.035562
5.7359e+06,6.2007e+05,-112.26,0.9993,-0.0042599,-0.010383,-0.035722
5.7359e+06,6.2007e+05,-112.26,0.99929,-0.0042071,-0.010794,-0.035895
5.7359e+06,6.2007e+05,-112.24,0.99927,-0.0042941,-0.011368,-0.03611
5.7359e+06,6.2007e+05,-112.2,0.99926,-0.0046828,-0.011381,-0.036423
5.7359e+06,6.2007e+05,-112.19,0.99926,-0.0049154,-0.010608,-0.036611
5.7359e+06,6.2007e+05,-112.19,0.99926,-0.0049745,-0.0097486,-0.036757
5.7359e+06,6.2007e+05,-112.19,0.99926,-0.0050437,-0.0093335,-0.036912
5.7359e+06,6.2007e+05,-112.19,0.99925,-0.0051594,-0.0093294,-0.037133
5.7359e+06,6.2007e+05,-112.19,0.99924,-0.0049279,-0.0096354,-0.037409
